region,decade,pct_renouvelable_moyen,pct_nucleaire_moyen,intensite_carbone_moyenne,nb_pays
Autre,2000s,7.3,23.1,543.0,2
Autre,2010s,24.4,17.2,454.0,2
Autre,2020s,47.9,9.8,303.0,2
Est,2000s,15.9,19.8,562.0,6
Est,2010s,24.4,22.5,475.0,6
Est,2020s,34.0,23.5,361.0,6
Nord,2000s,42.0,15.0,311.0,5
Nord,2010s,55.6,14.6,222.0,5
Nord,2020s,69.9,13.3,127.0,5
Ouest,2000s,25.8,29.0,292.0,7
Ouest,2010s,36.0,26.3,238.0,7
Ouest,2020s,48.1,23.6,166.0,7
Sud,2000s,20.0,0.0,652.0,2
Sud,2010s,37.6,0.0,494.0,2
Sud,2020s,57.7,0.0,270.0,2
